,Mkt-RF,SMB,HML,RF
20200115,    0.16,    0.47,   -0.81,   0.006
20200116,    0.88,    0.52,   -0.11,   0.006
20200117,    0.28,   -0.64,   -0.13,   0.006
20200121,   -0.32,   -0.51,   -0.61,   0.006
20200122,    0.08,   -0.26,    0.01,   0.006
20200123,    0.08,   -0.05,   -0.13,   0.006
20200124,   -0.97,   -0.44,   -0.29,   0.006
20200127,   -1.56,    0.37,   -0.41,   0.006
20200128,    1.02,   -0.12,   -0.42,   0.006
20200129,   -0.10,   -0.24,   -0.97,   0.006
20200130,    0.34,   -0.68,    0.68,   0.006
20200131,   -1.74,   -0.42,   -0.35,   0.006
20200203,    0.84,    0.62,   -0.68,   0.006
20200204,    1.57,   -0.05,   -0.68,   0.006
20200205,    0.97,    0.31,    1.46,   0.006
20200206,    0.27,   -0.44,   -0.83,   0.006
20200207,   -0.55,   -0.79,   -0.03,   0.006
20200210,    0.73,    0.00,   -0.88,   0.006
20200211,    0.28,    0.05,    1.04,   0.006
20200212,    0.66,    0.15,   -0.35,   0.006
20200213,   -0.09,    0.20,    0.00,   0.006
20200214,    0.15,   -0.38,   -0.66,   0.006
20200218,   -0.19,    0.16,   -0.64,   0.006
20200219,    0.60,    0.18,    0.03,   0.006
20200220,   -0.35,    0.49,    0.66,   0.006
20200221,   -1.12,   -0.11,    0.02,   0.006
20200224,   -3.39,    0.18,    0.01,   0.006
20200225,   -3.09,   -0.10,   -0.68,   0.006
20200226,   -0.52,   -0.38,   -1.20,   0.006
20200227,   -4.22,    0.78,    0.05,   0.006
20200228,   -0.78,    0.30,   -0.80,   0.006
